Fuel Types,2008_(%),2009_(%),2010_(%),2011_(%),2012_(%),2013_(%),2014_(%),2015_(%),2016_(%),2017_(%)_10
Biomass,,,,,,,,,,0.15
Natural_Gas ,43.0,42.1,38.2,40.4,44.6,40.5,41.1,48.3,43.7,5.02
Gas-CC,,,,,,,,,,34.62
Coal,37.1,36.6,39.5,39.0,33.8,37.2,36.0,28.1,28.8,31.87
Nuclear,13.2,13.6,13.1,11.9,11.8,11.6,11.6,11.3,12.0,10.4
Wind,4.9,6.2,7.8,8.5,9.2,9.9,10.6,11.7,15.1,17.21
Solar,,,,,,,,,0.2,0.64
Water,0.2,0.2,0.3,0.2,0.1,0.1,0.1,0.2,0.3,0.26
Net_DC_BLT,,,,,0.2,0.5,0.4,0.1,-0.2,-0.19
Other,1.6,1.3,1.1,0.2,0.3,0.3,0.3,0.3,0.2,0.01
Total,100,100,100,100,100,100,100,100,100,100
Total_MWh,308959455,305432222,316046338,333874758,324859701,331624102,340033353,347522948,351547782,302171742
Total_TWh,308.959455,305.432222,316.046338,333.874758,324.859701,331.624102,340.033353,347.522948,351.547782,302.171742
"""Other"" includes petroleum coke, landfill gas, biomass solids, biomas gases, and any unknown fuel.",,,,,,,,,,
http://www.ercot.com/news/presentations/2011,,,,,,,,,,
20xx Demand and Energy Report ERCOT,,,,,,,,,,